發生或發現時間,發生或發現地點,發生或發現管轄機關
1131110  1904,臺南市安平區運河路與古堡街口(運河路段上),AC4O1  臺南市政府警察局第四分局安平派出所
1130920  0750,臺南市安平區國平南路96號旁工地,AC4M1  臺南市政府警察局第四分局育平派出所
1131108  1644,臺南市北區大武街597巷31號,AC5Q1  臺南市政府警察局第五分局實踐派出所
1131110  1548,臺南市北區北區和緯路二段172號(全聯福利中心台南和緯店),AC5P1  臺南市政府警察局第五分局公園派出所
1131109  2350,臺南市南區健康路一段382號小北百貨台南健康店,AC6S1  臺南市政府警察局第六分局大林派出所
1131108  0330,臺南市西港區竹林里大竹林56-36號,AC7W1  臺南市政府警察局佳里分局西港分駐所
1131101  1645,臺南市北門區北門里井子腳1-1號,AC8R1  臺南市政府警察局學甲分局北門分駐所
1130803  0447,臺南市永康區自強路255巷35弄2號,ACBO1  臺南市政府警察局永康分局永康派出所
1131110  1046,臺南市永康區永明街193號,ACBQ1  臺南市政府警察局永康分局龍潭派出所
1131110  2100,臺南市永康區正南五街與新中街口騎樓下,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131108  1430,臺南市新營區工業街34號,ACDV1  臺南市政府警察局新營分局中山路派出所
1131110  0259,臺南市麻豆區北勢里北勢寮11-1號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131110  1357,臺南市官田區新生街6號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131111  1620,臺南市東區林森路2段79號東區林森路二段79號 萊爾富超商(長中店),AC1R1  臺南市政府警察局第一分局東寧派出所
1131111  1700,臺南市東區崇成里崇德路629號東區崇德路629號,AC1O1  臺南市政府警察局第一分局德高派出所
1130818  0709,臺南市中西區民權路3段331號,AC2N1  臺南市政府警察局第二分局長樂派出所
1131110  1040,臺南市安南區北安路2段32號,AC3T1  臺南市政府警察局第三分局安順派出所
1131106  0653,臺南市北區文賢路647號,AC3T1  臺南市政府警察局第三分局安順派出所
